"Path","Size","Sig","SHA256","Issues","Status"
"assets\cluster_icons\cluster_95.png","1128","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","C46B2C23583FEA7AEE7C6F225951FC0BB0E8D781C1281C0612C042BBDDA55F1B","","CLEAN"
"assets\cluster_icons\cluster_96.png","1124","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","C6CBED1253A77D0E9262693817D563F99FE5DADA6C2D88198B5B169DD78A6A55","","CLEAN"
"assets\cluster_icons\cluster_97.png","1123","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","E0171B95F2D49849AF2085BBE307A02FC3A501042EEEC68B07D45628F431568D","","CLEAN"
"assets\cluster_icons\cluster_98.png","1119","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","92D2D4E6800D2BBF45A6871401DA6EEEEB65110FAF1BEA61FB51BC52400DCE01","","CLEAN"
"assets\cluster_icons\cluster_99.png","1121","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","EE64BE17AEDDDE56C52F43EB85788F00DB2A4546BEEA93E0555970BB3A6790B5","","CLEAN"
"assets\dfc_backgrounds\datafight_central_with_logo.png","39763","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","2E69D714B8DEB8768B7650A57F812377153770468702BA9CF76894FEE8B12C46","","CLEAN"
"assets\dfc_backgrounds\datafightlogo.png","1021619","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","575F902C6A61C0A872573B9FE39E993CE77444A3C78B8EA2E5E3294797999501","","CLEAN"
"assets\dfc_backgrounds\dfc_and_back_ground.png","2290116","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","7B44AD98A687584101EF27663F30F990080DFB80C93F7C19837E26998E852BA8","","CLEAN"
"assets\dfc_backgrounds\dfc_logo_resized.png","247064","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","0B54AA76A3D51D5303B82AE995B80940DE3C94D2ED6AA302E5DAA0645A780653","","CLEAN"
"assets\dfc_backgrounds\dfc2_image_.png","235512","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","47020A02B4F7531D52692097E18598A19540C483A0EE9AFAD0960B63C87F414A","","CLEAN"
"assets\dfc_backgrounds\dfc2_image.png","235512","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","47020A02B4F7531D52692097E18598A19540C483A0EE9AFAD0960B63C87F414A","","CLEAN"
"assets\dfc_backgrounds\last_logo_square_.png","46444","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","5C51B2D88CFDB31B95B6CCA4AA5BFBAD4207BF0E560061207C348333BBEDF293","","CLEAN"
"assets\dfc_backgrounds\last_logo_square.png","46444","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","5C51B2D88CFDB31B95B6CCA4AA5BFBAD4207BF0E560061207C348333BBEDF293","","CLEAN"
"assets\dfc_backgrounds\new_dfc_image_1.png","391542","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","84954D2925E285266899F240450FA55999064DC95E8A92922D43396F540E719A","","CLEAN"
"assets\dfc_backgrounds\Screenshot 2026-02-18 152609.png","576947","89 50 4E 47 0D 0A 1A 0A 00 00 00 0D 49 48 44 52","EB09A2294DE0A141BC73DD6D6C29DD9590937B94718F2956FB6F3C52687D4D06","","CLEAN"
